"","ShortAffil","id","lat","long","country"
"142","centre suisse de recherches scientifiques en côte d'ivoire, adiopodume, côte d'ivoire",61,5.330576,-4.128086,"Côte d'Ivoire"
"143","school of medical sciences, kwame nkrumah university of science and technology, kumasi, ghana",62,6.6722268,-1.5683949,"Ghana"
"145","biochemistry, university of ghana, legon, ghana",63,5.650562,-0.1962244,"Ghana"
"154","osaka city university medical school, 1-4-3 asahi-machi abeno-ku, osaka, 545-8585, japan",64,34.5905808,135.5050308,"Japan"
"155","center for senile degenerative disorders (csdd), osaka city university medical school, 1-4-3 asahi-machi abeno-ku, osaka, 545-8585, japan",65,36.204824,138.252924,"Japan"
"156","search institute for bone and arthritis disease (sinbad), shirahama health and welfare foundation, 1447 shirahama-cho, nishimuro-gun, wakayama, 649-2211, japan",66,41.4784083,-81.7097759,"United States"
"162","translational research center, kyoto university hospital, kyoto university school of medicine, 54 shogoin-kawahara-cho, sakyo-ku, kyoto, 606-8507, japan",67,36.204824,138.252924,"Japan"
"163","kyoto university graduate school of medicne, 54 shogoin-kawahara-cho, sakyo-ku, kyoto, 606-8507, japan",68,36.204824,138.252924,"Japan"
"165","artificial cells and organs research centre, medicine and biomedical engineering, faculty of medicine, mcgill university , montreal, quebec , canada",69,45.5087399,-73.5808011,"Canada"
"166","school of environmental engineering, technical university of crete, chania, greece",70,35.5328019,24.0688805,"Greece"
"170","dialynas s.a., el. venizelou 15, chania, greece",71,35.5177548,24.0352023,"Greece"
"172","medicinal chemistry, monash institute of pharmaceutical sciences, monash university, 381 royal parade, parkville, vic 3052 (australia) http://www.pharm.monash.edu.au",72,-37.7839869,144.9587477,"Australia"
"173","a pharmacogenomics and pharmacogenetics research unit, laboratory of experimental oncology , orthopaedic rizzoli institute , bologna , italy",73,44.4760792,11.3403383,"Italy"
"179","helmholtz-centre for environmental research - ufz, permoserstrasse 15, 04318 leipzig, germany",74,51.3517518,12.4309111,"Germany"
"182","luxembourg centre for systems biomedicine (lcsb), university of luxembourg, 7, avenue des hauts-fourneaux, l-4362 esch-sur-alzette, luxembourg",75,49.5024124,5.9487864,"Luxembourg"
"184","schrödinger gmbh, dynamostr",76,NA,NA,NA
"185",", 68165, mannheim, germany",77,49.4764407,8.4930737,"Germany"
"186","department of computer science and engineering",78,41.6993845,-86.2372857,"United States"
"188","the chinese university of hong kong, shatin, new territories, hong kong",79,22.4162632,114.2109318,"Hong Kong"
"189","cnrs-umr8199, lille pasteur institute, lille, france",80,50.6282142,3.0738908,"France"
"190","lille university, lille, france",81,50.6283462,3.0739621,"France"
"191","european genomic institute for diabetes (egid), fr 3508, lille, france",82,42.8142942,3.0281693,"France"
"222","school of public health, imperial college london, hammersmith hospital, london, united kingdom",83,51.4881567,-0.2193566,"United Kingdom"
"226","brigham and women's hospital, harvard medical school, boston, united states",84,42.3359248,-71.1066945,"United States"
"228","university of michigan medical school, ann arbor, united states",85,42.2840011,-83.7326064,"United States"
"229","geriatrics center, university of michigan medical school, ann arbor, united states",86,42.2841665,-83.7341007,"United States"
"230","school of public health, university of michigan, ann arbor, united states",87,42.2805731,-83.7304444,"United States"
"235","albert einstein college of medicine, bronx, united states",88,40.8521451,-73.8443938,"United States"
"237","university of rochester, rochester, united states",89,43.1305531,-77.6260033,"United States"
"239","broad institute, cambridge, united states",90,42.3628858,-71.0889581,"United States"
"243","departments of pathology and immunology (j.k., l.m., m.m.m.), molecular and cellular biology (m.m.m.), molecular and human genetics (m.m.m.), and pharmacology (m.m.m",91,NA,NA,NA
"244","center for drug discovery (m.m.m",92,42.3395225,-71.0878997,"United States"
"245","dan l. duncan cancer center (j.k., m.m.m.), and center for reproductive medicine (j.k., m.m.m.), baylor college of medicine",93,29.710529,-95.396241,"United States"
"246","and department of pathology and genomic medicine (d.m.c.), houston methodist and weill medical college of cornell university, houston, texas 77030",94,29.7114476,-95.3999864,"United States"
"248","genentech, inc",95,NA,NA,NA
"249"," south san, francisco, california 94080",96,37.6531903,-122.4184108,"United States"
"260","a research institute of pharmaceutical sciences, college of pharmacy, seoul national university , seoul , korea",97,37.459882,126.9519053,"South Korea"
"262","centre for marine sciences, school of biological sciences, the university of queensland, brisbane, 4072, australia",98,-27.4954306,153.0120301,"Australia"
"265","biotechnology unit, faculty of science, university of buea, buea, cameroon",99,4.1488902,9.2878516,"Cameroon"
"266","biosciences eastern and central africa-international livestock research institute (beca-ilri) hub, nairobi, kenya",100,-1.3200591,36.7040029,"Kenya"
"267","international livestock research institute, nairobi, kenya",101,-1.270581,36.7240265,"Kenya"
"275","school of software, east china jiaotong university, nanchang 330013, china",102,28.744972,115.866126,"China"
"276","school of information engineering, east china jiaotong university, nanchang 330013, china",103,28.702745,115.83605,"China"
"277","school of information science and engineering, central south university, changsha 410083, china",104,28.17033,112.930572,"China"
"280","aarhus university, aarhus, denmark",105,56.1681384,10.2030118,"Denmark"
"283","sino-danish centre for education and research (sdc), aarhus, denmark",106,56.1681384,10.2030118,"Denmark"
"286","centre for physical activity and nutrition research, school of exercise and nutrition sciences, deakin university, burwood, victoria 3125, australia",107,-37.8483275,145.1099967,"Australia"
"287","metabolomics australia, bio21 institute of molecular science and biotechnology, university of melbourne, parkville, victoria 3010, australia",108,-37.797755,144.9538718,"Australia"
"288","brigham and women's hospital, boston, ma, usa",109,42.3360139,-71.1069841,"United States"
"296","uppsala university, se-75185, uppsala, sweden",110,59.8509005,17.6300093,"Sweden"
"297","genetics and pathology, uppsala university, se-75185, uppsala, sweden",111,59.8585638,17.6389267,"Sweden"
"299","kliniken essen-mitte, academic teaching hospital of the university of duisburg-essen, de-45136 essen, germany",112,51.441884,7.0304651,"Germany"
"302","xiangya hospital, central south university, no",113,28.16437,112.93251,"China"
"303",", xiangya road",114,28.2139255,112.9796544,"China"
"304","kaifu district, changsha, 410008, hunan, china",115,28.2238444,112.9774742,"China"
"308","xiangya hospital, central south university, changsha, 410008, hunan, china",116,28.213992,112.981338,"China"
"321","istituto pasteur-fondazione cenci bolognetti, sapienza university of rome , 00185 rome, italy",117,41.9056617,12.5160202,"Italy"
"322","medicinal chemistry unit, school of pharmacy, university of camerino , 62032 camerino, mc, italy",118,43.1356503,13.0683254,"Italy"
"323","sapienza university of rome , 00185 rome, italy",119,41.9037626,12.5144384,"Italy"
"325","university roma tre , 00154 rome, italy",120,41.862585,12.479095,"Italy"
"333","thomas jefferson university, philadelphia, pa 19107, usa",121,39.9489094,-75.1559531,"United States"
"336","university of british columbia, 6270 university boulevard, vancouver, bc v6t 1z4, canada",122,49.2644974,-123.251268,"Canada"
"338","lamprey research center, school of life science, liaoning normal university, liushu south street no",123,38.92689,121.484494,"China"
"339"," dalian, china",124,38.914003,121.614682,"China"
"344","faculty of engineering, hokkaido university, north-13, west-8, kita-ku, sapporo, hokkaido, 060-8628, japan",125,36.204824,138.252924,"Japan"
"345","nagaoka national college of technology, 888 nishikatakaimachi, nagaoka, niigata, 940-0834, japan",126,36.204824,138.252924,"Japan"
"346","graduate school of engineering, hiroshima university, 1-4-1 kagamiyama, higashihiroshima, hiroshima, 739-8527, japan",127,34.403123,132.714908,"Japan"
"347","graduate school of agricultural and life science, the university of tokyo, 1-1-1 yayoi, bunkyo-ku, tokyo, 113-8657, japan",128,35.7126775,139.761989,"Japan"
"348","biomass refinery research center, national institute of advanced industrial science and technology, 3-11-32, kagamiyama, higashihiroshima, hiroshima, 739-0046, japan",129,14.4759969,121.0274218,"Philippines"
"350","faculty of biotechnology and life science, sojo university, 4-22-1 ikeda, kumamoto, 860-0082, japan",130,34.6692303,135.506406,"Japan"
"355","lw, ubz, gl, tfl), university of california, san francisco, california",131,37.7912998,-122.4021972,"United States"
"356","and king abdulaziz university (aa), jeddah, saudi arabia",132,21.2854067,39.2375507,"Saudi Arabia"
"357","center for cancer and blood disorders, phoenix children's hospital, phoenix, az, usa",133,33.4790687,-112.041366,"United States"
"358","dana-farber cancer institute and boston children's hospital, boston, ma, usa",134,42.3376985,-71.1072967,"United States"
"361","pediatric oncology branch, center for cancer research, national cancer institute, national institutes of health, bethesda, md, usa",135,38.984652,-77.0947092,"United States"
"362","genetics branch, national cancer institute, national institutes of health, bethesda, md, usa",136,38.9996533,-77.1075826,"United States"
"364","huntsman cancer institute & primary children's medical center, university of utah, salt lake city, ut, usa",137,40.7725647,-111.8343429,"United States"
"365","national cancer institute, national institutes of health, bethesda, md, usa",138,38.9996533,-77.1075826,"United States"
"367","human oncology and pathogenesis program, memorial sloan kettering cancer center, new york, ny, usa",139,40.764101,-73.9559837,"United States"
"369","the jackson laboratory, bar harbor, me, usa",140,44.365994,-68.196389,"United States"
"370","the children's hospital of philadelphia, philadelphia, pa, usa",141,39.9488993,-75.1938646,"United States"
"371","section of hematology-oncology, baylor college of medicine, houston, tx, usa",142,29.710529,-95.396241,"United States"
"372","university of michigan, ann arbor, mi, usa",143,42.2780436,-83.7382241,"United States"
"374","texas children's cancer center, baylor college of medicine, houston, tx, usa",144,29.710529,-95.396241,"United States"
"375","molecular oncology section, center for cancer research, national cancer institute, nih, bethesda, md, usa",145,38.9996533,-77.1075826,"United States"
"377","seattle children's hospital, university of washington, fred hutchinson cancer research center, seattle, wa, usa",146,47.6159793,-122.3346755,"United States"
"379","national cancer institute, nih, bethesda, md, usa",147,38.9996533,-77.1075826,"United States"
"380","university of british columbia, vancouver, bc, canada",148,49.2606052,-123.2459938,"Canada"
"381","bc cancer research centre, vancouver, bc, canada",149,49.2625998,-123.1193748,"Canada"
"383","university of texas southwestern medical center, dallas, tx, usa",150,32.8156603,-96.8439894,"United States"
"384","nationwide children's hospital, columbus, oh, usa",151,39.9534362,-82.9788952,"United States"
"385","children's hospital at montefiore, albert einstein college of medicine, bronx, ny, usa",152,40.8803244,-73.8790379,"United States"
"386","moffitt cancer center, adolescent and young adult program, tampa, fl, usa",153,28.0640079,-82.4216573,"United States"
"387","samsung medical center, sungkyunkwan university school of medicine, seoul, korea",154,37.4881568,127.0855952,"South Korea"
"393","chung-ang university school of medicine, seoul, korea",155,37.504147,126.956954,"South Korea"
"394","pusan national university yangsan hospital, pusan national university school of medicine, yangsan, korea",156,35.3288117,129.005387,"South Korea"
"395","kangbuk samsung hospital, sungkyunkwan university school of medicine, seoul, korea",157,37.4881568,127.0855952,"South Korea"
"397","samsung changwon hospital, sungkyunkwan university school of medicine, changwon, korea",158,35.2392644,128.655374,"South Korea"
"403","jun j. yang, wenjian yang, chengcheng liu, cheng cheng, deqing pei, kristine r",159,33.2080814,-87.5312947,"United States"
"404","crews, nancy kornegay, william e",160,37.240175,-96.9966981,"United States"
"405","evans, ching-hon pui, and mary v",161,22.283098,114.159189,"Hong Kong"
"406","relling, st jude children's research hospital, memphis, tn",162,35.1536722,-90.0432329,"United States"
"407","and wendy landier, lindsey hageman, yanjun chen, f",163,43.076871,-89.438208,"United States"
"408","lennie wong, and smita bhatia, city of hope, duarte, ca",164,34.1291931,-117.9715129,"United States"
"493","hannover medical school, institute for history, ethics, and philosophy of medicine, carl-neuberg-strasse 1, 30625, hannover, germany",165,52.3763832,9.8026933,"Germany"
"494","merck sharp & dohme (europe), inc., clos du lynx 5, 1200, brussels, belgium",166,40.6407568,-74.7738373,"United States"
"495","centre for biotechnology, university of turku and åbo akademi university, turku, finland",167,60.4509869,22.2776003,"Finland"
"496","prostate cancer research center, institute of biosciences and medical technology-biomeditech, university of tampere, tampere, finland",168,61.4936494,23.7788528,"Finland"
"497","research and application centre for scientific and technological investigations (nabiltem), namik kemal university, tekirdag, turkey",169,40.9938039,27.5887466,"Turkey"
"499","fimlab laboratories, tampere university hospital, tampere, finland",170,61.5060131,23.8109383,"Finland"
"500","turku university hospital, turku, finland",171,60.453384,22.2892808,"Finland"
"504","university of turku, turku, finland",172,60.4562974,22.2851138,"Finland"
"507","csir-institute of microbial technology, sector 39-a, chandigarh 160036, india",173,30.747768,76.7337,"India"
"513","endocrinology and diabetes unit (s.s., i.s., e.c., f.g., a.g., i.w., m.b., c.l.r., t.d., b.a., m.f.), university hospital würzburg, 97080 würzburg, germany",174,49.7913044,9.9533548,"Germany"
"514","comprehensive cancer center mainfranken (s.s., a.r., m.f., m.k.), 97080 würzburg, germany",175,49.800785,9.9538467,"Germany"
"515","institute of pathology (e.l., a.r.), university of würzburg, 97080 würzburg, germany",176,49.7913044,9.9533548,"Germany"
"516","institute of clinical chemistry and laboratory medicine (s.m., g.l., g.s.), university hospital regensburg, 93053 regensburg, germany",177,48.988222,12.089118,"Germany"
"517","department of nuclear medicine (a.s.), university hospital würzburg, 97080 würzburg, germany",178,49.7913044,9.9533548,"Germany"
"518","and clinical chemistry and laboratory medicine (s.k., m.f.), university hospital würzburg, 97080 würzburg, germany",179,49.7913044,9.9533548,"Germany"
"633","school of chemistry and chemical biology, university college dublin, belfield, dublin 4, ireland",180,53.3045918,-6.2199917,"Ireland"
"637","conway institute for biomolecular and biomedical sciences, university college dublin, belfield, dublin 4, ireland",181,53.310559,-6.2250316,"Ireland"
"638","laboratory medicine program, university health network, toronto, ontario, sunnybrook health sciences centre, toronto, ontario, canada",182,43.7216064,-79.3759228,"Canada"
"639","laboratory medicine program, university health network, toronto, ontario, canada",183,43.6609156,-79.3938562,"Canada"
"640","princess margaret cancer centre, toronto, ontario, canada",184,43.6574912,-79.3913243,"Canada"
"641","radiation medicine program, princess margaret cancer centre, toronto, ontario, university of toronto, toronto, ontario, canada",185,43.6574912,-79.3913243,"Canada"
"643","a pharmaceutical sciences , university of tennessee health science center , memphis , tn , usa",186,35.1406045,-90.0303855,"United States"
"645","b pharmaceutical science , college of pharmacy, university of findlay , findlay , oh , usa",187,41.054643,-83.6547373,"United States"
"646","c clinical pharmacy , university of tennessee health science center , memphis , tn , usa",188,35.1406045,-90.0303855,"United States"
"648","school of natural and applied sciences, college of science and technology, covenant university, canaan land, ota, ogun state, nigeria",189,7.945211,4.788842,"Nigeria"
"649","university of johannesburg, doornfontein, johannesburg, south africa",190,-26.1944853,28.0576306,"South Africa"
"650","college of science and technology, covenant university, canaan land, ota, ogun state, nigeria",191,6.682715,3.1720065,"Nigeria"
"651","university of lagos, lagos, nigeria",192,6.519006,3.397181,"Nigeria"
"652","laboratoirede virologie médicale et moléculaire, centre hospitalier universitaire de reims, france",193,49.2274689,4.0186914,"France"
"653","ea-4684 cardiovir, faculté de médecine, université de reims champagne-ardenne, reims, france",194,49.2559131,4.0408547,"France"
"655","service de cardiologie, centre hospitalier universitaire de reims, france",195,49.2274689,4.0186914,"France"
"658","service de chirurgie thoracique, centre hospitalier universitaire de reims, france",196,49.2274689,4.0186914,"France"
"659","laboratoire d'anatomie pathologique, faculté de médecine, université de reims champagne ardennes, reims, france",197,49.2559131,4.0408547,"France"
"660","laboratoire d'anatomie pathologique, centre hospitalier universitaire de reims, france",198,49.2274689,4.0186914,"France"
"667","faculty of medicine, são paulo state university, botucatu, brazil",199,-22.8911069,-48.4943054,"Brazil"
"668","bundeswehr institute of microbiology, munich, germany",200,48.210125,11.585383,"Germany"
"669","technische universität münchen, wissenschaftszentrum weihenstephan, chair for soil ecology, freising, germany",201,48.3985459,11.7235551,"Germany"
"671","istituto zooprofilattico sperimentale of puglia and basilicata, anthrax reference institute of italy, foggia, italy",202,41.4621984,15.5446302,"Italy"
"680","ludwig maximilians universität münchen, institute for laboratory medicine, munich, germany",203,48.150806,11.58043,"Germany"
"681","german research center for environmental health, research unit for environmental genomics, neuherberg, germany",204,48.2224016,11.5919438,"Germany"
"686","teagasc ashtown food research centre, ashtown, dublin 15, ireland",205,53.380717,-6.336622,"Ireland"
"687","food packaging group, school of food and nutritional sciences, food science building, university college cork, ireland",206,51.8921099,-8.4932737,"Ireland"
"692","centre for cardiovascular genetics, british heart foundation laboratories, institute of cardiovascular science, university college london, university street, london, uk",207,51.5245592,-0.1340401,"United Kingdom"
"694","centre for population health sciences, the university of edinburgh, edinburgh, uk",208,55.9445158,-3.1892413,"United Kingdom"
"695","ucl institute of epidemiology, university college london, london, uk",209,51.5245592,-0.1340401,"United Kingdom"
"697","population health research institute, st george's university of london, cranmer terrace, london, uk",210,51.4271937,-0.1745034,"United Kingdom"
"698","school of social and community medicine, university of bristol, bristol, uk",211,51.4584172,-2.6029792,"United Kingdom"
"700","institute for social and economic research, university of essex, colchester, uk",212,51.8780231,0.9472755,"United Kingdom"
"701","ucl institute of epidemiology & health care, university college london, london, uk",213,51.5245592,-0.1340401,"United Kingdom"
"702","mrc unit for lifelong health and ageing, london, uk",214,51.5199852,-0.1242244,"United Kingdom"
"704","mrc epidemiology unit, institute of metabolic science, addenbrooke's hospital, cambridge, uk",215,52.1741751,0.137538,"United Kingdom"
"708","computational medicine, faculty of medicine, university of oulu and biocenter oulu, oulu, finland",216,65.0120888,25.4650772,"Finland"
"710","nmr metabolomics laboratory, school of pharmacy, university of eastern finland, kuopio, finland",217,62.895559,27.641009,"Finland"
"713","mrc integrative epidemiology unit, school of social and community medicine, university of bristol, bristol, uk",218,51.4584172,-2.6029792,"United Kingdom"
"717","loughborough university, centre for biological engineering, holywell park, loughborough le11 3tu, uk",219,52.758537,-1.2458576,"United Kingdom"
"718","two bc, newmarket, uk",220,52.24488,0.407962,"United Kingdom"
"720","university of manchester, michael smith building, oxford road, manchester, m13 9pt, uk",221,53.4653015,-2.2290922,"United Kingdom"
"721","cell & gene therapy catapult, 12th floor tower wing, guy's hospital, great maze pond, london, se1 9rt, uk",222,36.3103896,-95.6169595,"United States"
"722","university of cambridge, john van geest centre for brain repair, e.d. adrian building, forvie site, robinson way, cambridge, cb2 0py, uk",223,52.1737502,0.1435464,"United Kingdom"
"724","european infrastructure for translational medicine, eatris headquarters, de boelelaan 1118, 1081 hz amsterdam, the netherlands",224,52.3357573,4.8598163,"Netherlands"
"725","university of cambridge, anne mclaren laboratory for regenerative medicine west forvie building, robinson way, cambridge, cb2 0sz, uk",225,52.172901,0.1419492,"United Kingdom"
"726","lgc group, queens road, teddington, middlesex, tw11 0ly, uk",226,51.4237915,-0.340846,"United Kingdom"
"728","university of edinburgh, mrc centre for regenerative medicine, edinburgh bioquarter, 5 little france drive, edinburgh, eh16 4uu, uk",227,55.92106,-3.130032,"United Kingdom"
"730","imperial college london, faculty of medicine, national heart & lung institute, ictem building, hammersmith campus, du cane road, london, w12 0nn, uk",228,51.49891,-0.174232,"United Kingdom"
"731","flodesign sonics inc., 380 main st, wilbraham, ma 01095, usa",229,42.128319,-72.4311313,"United States"
"732","i-stem, cecs/i-stem, 2, rue henri desbruères, 91100 corbeil-essonnes, france",230,48.6176591,2.4529759,"France"
"733","fraunhofer ibmt, außenstelle cambridge/babraham, meditrina building, babraham research campus, cambridge, cb22 3at, uk",231,52.132509,0.2056681,"United Kingdom"
"734","university of sheffield, centre for stem cell biology, alfred denny building, western bank, sheffield s10 2tn, uk",232,53.3817314,-1.4875551,"United Kingdom"
"738","reneuron, pencoed business park, pencoed, bridgend cf35 5hy, uk",233,51.5149906,-3.4963184,"United Kingdom"
"739","neusentis (pfizer ltd.), the portway building, granta park, great abington, cambridge cb21 6gs, uk",234,52.1172635,0.224611,"United Kingdom"
"740","autolus limited, forest house, 58 wood lane, white city, london, w12 7rp, uk",235,51.5144738,-0.2245542,"United Kingdom"
"746","university college london, stem cells & regenerative medicine section, ucl institute of child health, 30 guilford street, london, wc1n 1eh, uk",236,51.5232287,-0.1200982,"United Kingdom"
"749","university college london, ucl cancer institute, paul o'gorman building, 72 huntley street, london, wc1e 6dd, uk",237,51.5233315,-0.1349098,"United Kingdom"
"750","medical research council, 2nd floor david phillips building, polaris house, north star avenue, swindon, sn2 1fl, uk",238,51.5668007,-1.7845883,"United Kingdom"
"751","lund university, developmental & regenerative neurobiology, wallenberg neuroscience centre, lund university, 221 84 lund, sweden",239,55.7119483,13.203493,"Sweden"
"752","nist, material measurement laboratory, nist, gaithersburg, md 20899, usa",240,39.1378159,-77.216129,"United States"
"753","keele university, institute for science & technology in medicine, keele university thronburrow drive, hartshill stoke-on-trent, staffordshire, st4 7qb, uk",241,53.003369,-2.271922,"United Kingdom"
"755","national institute for biological standards & control, blanche lane, south mimms, potters bar, hertfordshire, en6 3qg, uk",242,38.9032044,-77.0437841,"United States"
"757","tap biosystems, sartorius stedim, york way, royston, hertfordshire, sg8 5wy uk",243,52.0577096,-0.033558,"United Kingdom"
"759","scottish national blood transfusion services, snbts headquarters, 21 ellen's glen road, edinburgh, eh17 7qt, uk",244,55.9094657,-3.1526932,"United Kingdom"
"761","university college london, torrington place, london, wc1e 7je, uk",245,51.5245592,-0.1340401,"United Kingdom"
"762","celldata services, 3 burgate court, york, yo43 4tz, uk",246,53.818312,-0.6132618,"United Kingdom"
"763","mit center for biomedical innovation, building e19-604, massachusetts institute of technology, cambridge, ma 02139, usa",247,42.3647559,-71.1032591,"United States"
"765","fraunhofer ibmt, fraunhofer-institut für biomedizinische technik ibmt, joseph-von-fraunhofer-weg 1, 66280 sulzbach, germany",248,49.288272,7.074879,"Germany"
"766","hospital base puerto montt, puerto montt, chile",249,-41.4491766,-72.9572697,"Chile"
"767","hospital clinic, university of barcelona, barcelona, spain",250,41.3895158,2.1522994,"Spain"
"770","hospital clínic, university of barcelona, barcelona, spain",251,41.3895158,2.1522994,"Spain"
"771","hematology, hospital clinic, university of barcelona, barcelona, spain",252,41.3895158,2.1522994,"Spain"
"773","university of agricultural sciences and veterinary medicine cluj-napoca, 3-5 mănăştur street, 400372 cluj-napoca, romania",253,46.7609986,23.5708017,"Romania"
"776","laboratoire imagerie de l'angiogénèse, plateforme d'imagerie du petit animal, inserm u970, université paris descartes, paris, hôpital européen georges pompidou, aphp, paris, france inserm u633, laboratory of biosurgical research, paris, france",254,48.856614,2.3522219,"France"
